Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;26/10/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Bulgaria;BGR;Total fisheries production (metric tons);ER.FSH.PROD.MT;8700;8100;9600;7500;13700;21183;27375;44881;61484;84473;94201;100704;111017;102010;118559;158121;167144;137997;99028;86107;125187;106673;115618;121126;115567;100223;109452;111652;118018;102966;57103;57854;32148;21555;12685;12627;13581;16674;23198;18336;12317;11612;17316;16500;10741;8579;10801;12935;14021;15700.52;18689.63;15150.41;15556.16;21821.58;19859.18;22365.27;24376.38;24311.18;24940.73;26843.24;21347.59;24182.89;
Bahrain;BHR;Total fisheries production (metric tons);ER.FSH.PROD.MT;1500;1500;1500;1800;1800;2000;2500;2800;3000;3300;3500;3600;3700;3800;3900;4000;4084;4837;4000;3801;5115;5747;5594;4812;5599;7763;8057;7842;6736;9207;8105;7553;7983;8958;7628;9393;12943;10050;9850;10623;11730;11230;11207;13642;14497;11858;15595;15014;14178;16358;13493.19;9918.42;27092.72;14976;15859.7;15546;15014.21;15010.5;15010.5;14860.5;14429.5;15735.5;
Bahamas; The;BHS;Total fisheries production (metric tons);ER.FSH.PROD.MT;1600;1500;1600;1700;1900;2950;3800;2950;2750;2350;2750;2950;3300;4400;4663;4693;4750;5327;5114;5765;7119;7631.79;7737.04;8548.15;8440.07;11206.82;8695.9;10557.03;10515.66;9857.61;9758.18;11895.54;12215.54;13703.94;14931.02;13269.48;14100.15;14720.59;14578.69;13668;15529;13684;15700;16776;15194;15640;16294;10942;14833;13826.83;16343.44;15314;16757.83;12766;11887.57;11316.62;11634;11485.94;11005.53;10151.91;7439.16;8704.85
Bosnia and Herzegovina;BIH;Total fisheries production (metric tons);ER.FSH.PROD.MT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;201;201;201;201;252;253;254;255;255;255;4940;6890;6699;7375;7926;7747;7894;7925;7925;5275.2;3943.3;3228.5;3702;4755.6;4868.6;4065.4;3943.8;4262.4;4080.8;4123.6;
Belarus;BLR;Total fisheries production (metric tons);ER.FSH.PROD.MT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9922;10011;7721;6178;6859;4821;5184;5804;7269;5610;7543;6196;4733;6242;9051;14780;15445;16485;17162;17415;16464;14245;11424;9999.9;11887.3;11126.8;12381.3;10252.7;10205.38;9115.03;
Belize;BLZ;Total fisheries production (metric tons);ER.FSH.PROD.MT;900;600;800;900;900;800;900;1300;1300;1600;1500;1800;1900;1600;1618;1603;1613;3082;2808;2554;2066;2252;2288;2641;2672;2427;1861;2059;2151;2312;2132;2679;2715;4573;8326;10669;13172;26185;28242;54990;33952;35206;88760;53518;81472;111585;193397;308817;368802;309942;407338.7;282596.29;177822.85;41853.6;83413.95;101727.25;92572.52;121705.06;217530.04;214561.32;187454.16;192226.2;
Bermuda;BMU;Total fisheries production (metric tons);ER.FSH.PROD.MT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia;BOL;Total fisheries production (metric tons);ER.FSH.PROD.MT;700;500;1300;1400;1900;1800;1700;1500;1300;1200;1100;1300;1500;1500;1050;1050;1250;1550;1550;3650;4379;5617;4105;4105;4105;4170;3871;4271;4427;6024;7424;5367;5171;6167;5970;6308;6368;6425;6440;6450;6511;6260;6718;6974;6886;6790;6535;6355;7381;8343;7802;7643;7880;8247;8390;10167.5;10430;10680;11150;11725;11220;11453;
Brazil;BRA;Total fisheries production (metric tons);ER.FSH.PROD.MT;251000;275100;379400;335588;368976;388912;393162;419796;495176;492303;573040;613469;620167;760012;715188;752790;660241;731716;754655;783573;808606;811565;831884;881274;960569;967557;957550;947992;830102;798638;640295;671510;670333;676441;701251;652910;693172;732261;710704;744598;839296;935946;1003260;985412;1015916;1008045;1050810;1072225;1123445;1190539;1197146;1196780;1299470.47;1247652.01;1337514.97;1288747.09;1261888.96;1284477.44;1299566.09;1328178.88;1355106.13;1410978.84;
Barbados;BRB;Total fisheries production (metric tons);ER.FSH.PROD.MT;5213;4613;4713;2813;2113;2613;4813;4613;3213;3013;2313;2313;2313;2613;2668;4223;4952;3188;3597;4267;3747;3423;3492;6534;5784;3832;4112;3610;8939;2585;3029;2292;3585;3225;2829;3592;3523;2820;3655;3281;3185;2731;2530;2849;2159;2193;1988;2237;3564;3509;3282;1828.39;1371.13;2990.36;2226.82;1519.45;1760.98;1765.04;1757.46;900.24;1059.25;872.07;
