Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;26/10/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Guyana;GUY;Total fisheries production (metric tons);ER.FSH.PROD.MT;5700;7400;7900;9200;10400;12000;12300;13900;16000;16600;17400;15500;17600;19000;23617;20123;20956;31907;35978;35288;31530;32798;32794;35380;37256;37606;37395;36785;36523;35339;36922;40806;41337;44263;46577;48130;48833;54268;53140;54450;49492;54013;48625;60303;57327;53978;54423;48108;42460;44115.96;45675.6;43448.1;54105.18;49488.65;38113.49;36975.64;42478.7;43673.27;41694.76;39330.02;40124.53;34357.98;
High income;HIC;Total fisheries production (metric tons);ER.FSH.PROD.MT;19227798;20637148;21406209;21690619.1;22500578.1;24076392.4;25714912.8;26612361;28051999;27048824;29098479;30423042;30416966;31562256;32555187;32095098;34334629;34566716.5;34977747.1;35556284.7;36505023.9;37972705.95;38051443.1;39785474.24;42255429.47;42270709.88;44212284.27;44117018.23;45200434.24;45073423.79;42099809.52;40962959.01;42868406.29;41918255.38;43289816.61;42777748.65;41646302.24;41821740.37;37406739.5;38695514.02;37676497.01;37780987.04;37728562.14;36798359.97;37645409.25;36710428.62;36225914.1;36021730.95;34833501.27;34010677.36;33364132.6;33767186.95;33144981.45;32622001.89;33823847.94;33367075.34;31679180.06;34065127.51;34207435.44;33482329.87;32559759.56;32763307.97;
Hong Kong SAR; China;HKG;Total fisheries production (metric tons);ER.FSH.PROD.MT;50450;54865;59480;61000;63820;66860;64550;68129;112182;117460;136337;128074;135397;128506;142471;151186;157256;158739;162943;189932;194684;182511;181167;189282;200392;198196;213557;228102;238168;242514;234495;230912;229516;226844;219976;203570;192274;194310;186439;133832;162000;179599;174092;162301;172159;166094;158661;158661;162880;163784;172348;174158;159323;173893;164686;149087;147033;131726;128432;126716.1;123262.7;119087.85
Honduras;HND;Total fisheries production (metric tons);ER.FSH.PROD.MT;1700;2550;2550;2550;3400;4050;2600;4000;5700;5450;5000;5700;5750;4450;3863;5014;4643;5947;6804;8858;6636;6422;8130;11599;10052;11650;23173;28023;23424;20781;19541;31552;29670;33161;23327;32982;31555;33252;23548;31358;27968;35678;32746;40890;44605;70388;77902;71325;61240;41266;39584;61476;64634;64949;70389;65859;64600;75300;76300;80012;86969.92;79518.19;
Heavily indebted poor countries (HIPC);HPC;Total fisheries production (metric tons);ER.FSH.PROD.MT;740300;767850;822250;878750;969200;1030850;1091900;1177976;1247176;1348954;1462076;1541626;1639544;1676130;1692156;1779947;1763808;1891082;1838157;1759324;1777886;1758996;1766766;1839290.1;1974860;1977513;2142413;2295899.9;2319130.21;2369660.93;2518603.2;2395422.75;2607596.31;2548499.36;2412507.08;2642467;2810725.8;2872527.17;2783402.79;2913511.56;3018445;3062311.24;2991491.5;3261446.25;3405924.58;3430292.54;3375998.69;3533713.21;3558469.89;3691751.31;3829308.94;4011262.15;4152300.62;4202150.67;4333531.19;4399454.12;4510008.5;4980896.24;4988809.43;5301449.25;5251800.21;5461651.92;
Croatia;HRV;Total fisheries production (metric tons);ER.FSH.PROD.MT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33534.08;31233.27;22422.01;20275.05;21126;20551.49;27935.08;25222.19;27944.24;29019.12;30330.54;29462.04;43006.12;48535.09;56723.13;56360.63;64791.08;72117.05;68545.81;86000.06;75611.28;89552.55;94137.88;90819.85;90570.79;87054.8;90238.31;85024.38;93355.97;89252.92;
Haiti;HTI;Total fisheries production (metric tons);ER.FSH.PROD.MT;3000;3000;3000;3100;3300;3400;3400;3500;3500;3500;4000;4000;4000;4000;4000;4000;4000;4150;4300;4500;5000;5500;6000;6502.1;6901;6400;6000;5767.9;5517.9;5517.9;5167;5216;5016;5615;5215;5514;6014;6313;6610;7010;7422;7822;8122;8322;9692;11042;12292;13672;14972;16235;14070;17130;17230;17310;17520;17730;17800;17910;17780;17905;17910;17830;
Hungary;HUN;Total fisheries production (metric tons);ER.FSH.PROD.MT;14900;19300;21000;22000;22700;24800;26600;28200;29900;27800;26000;25800;28900;29100;30159;30788;31855;34661;32589;32838;33733;39319;42152;44037;39177;36927;36062;36759;38294;35517;33834;22879;22908;17378;18206;16674;15686;16740;17487;19461;19987;19694;18324;18406;19986;21270;22229;22888;23081;21191;20461;22632;21850;21390;22789;23263;21338.97;23893.5;23101.3;22119.31;23856.43;22447.27;
IBRD only;IBD;Total fisheries production (metric tons);ER.FSH.PROD.MT;12868580.01;14959032;17325120;17998754;21687896;20179552;23033176.01;24776918;26674755;25415117;28724631;27969908;22538453;21065978;23856491;23225205;24715960;24700149.99;26991317.91;27939867.81;27889490.1;29202650.08;31180470.64;30874966.39;34670311.97;37729087.22;41932073.72;42643974.84;46940240.85;49737358.51;49054560.87;52761815.23;65088601.41;70083904.45;80010139.24;83630085.49;88257058.82;86905199.16;82961080.51;91814617.6;95818162.17;94816853.21;98447140.95;98208216.51;106844085.53;109810480.65;111041189.8;114251281.11;118108664.62;121243651.15;122423914.27;130286228.57;133500957.64;140841442.69;144671597.96;149879119.13;152675230.14;157444183.19;163382811.48;164200153.23;165571884.96;170460591.39;
IDA & IBRD total;IBT;Total fisheries production (metric tons);ER.FSH.PROD.MT;14669440.01;16855376;19359818;20099481;23986479;22605641;25583114.01;27453365;29508496;28383040;31910189;31407647;26229725;24854804;27627389;26951636;28534047;28705495.99;31000366.91;31912389.81;31899015.1;33312542.08;35344420.64;35243304.63;39204228.11;42394664.33;46923933.44;47830423.12;52266036.13;55200901.53;54792357.24;58490165.23;71120340.62;76198598.45;86046552.6;90104735.22;94813341.18;94012223.75;90334524.49;99866031.24;104214856.91;103611606.02;107538715.75;107911530.54;117419915.61;120757104.09;122530689.69;126003587.34;130081868.71;133896554.56;135663474.3;144000119.72;147861932.57;155617377.63;160080947.34;165458977.16;168788153.77;174592378.6;180748698.87;181891262.07;183226122.08;187886716.02;
IDA total;IDA;Total fisheries production (metric tons);ER.FSH.PROD.MT;1800860;1896344;2034698;2100727;2298583;2426089;2549938;2676447;2833741;2967923;3185558;3437739;3691272;3788826;3770898;3726431;3818087;4005346;4009049;3972522;4009525;4109892;4163950;4368338.24;4533916.14;4665577.11;4991859.72;5186448.28;5325795.28;5463543.02;5737796.37;5728350;6031739.21;6114694;6036413.36;6474649.73;6556282.36;7107024.59;7373443.98;8051413.64;8396694.74;8794752.81;9091574.8;9703314.03;10575830.08;10946623.44;11489499.89;11752306.23;11973204.09;12652903.41;13239560.03;13713891.15;14360974.93;14775934.94;15409349.38;15579858.03;16112923.63;17148195.41;17365887.39;17691108.84;17654237.12;17426124.63;
IDA blend;IDB;Total fisheries production (metric tons);ER.FSH.PROD.MT;231307;232016;251017;268323;304668;332837;384912;394645;402914;421059;470390;564877;600822;631629;607994;607568;657420;692338;741116;765887;751957;805442;826530;885015;899991;933399;991052.4;1013010.5;1063742;1103721.3;1212804.81;1187259.48;1243122.1;1267887.72;1252478.31;1338235.4;1318987.8;1429728.09;1590589.74;1672199.78;1678661.29;1658136.2;1709322.74;1660590.36;1805458.6;1853157.96;2026309.94;1942172.54;2082798.55;2115778.11;2211948.35;2331348.89;2417264.59;2556019.07;2715134.75;2631305.65;2744343.37;2984565.02;2921929.91;2816911.76;2693081.06;2714456.2;
Indonesia;IDN;Total fisheries production (metric tons);ER.FSH.PROD.MT;761700;914800;947200;939200;1004000;1074800;1241600;1198400;1180000;1234800;1257200;1273302;1296804;1294441;1361942;1376566;1486511;1587817;1668158;1770087;1877956;1946989;2026589;2248468;2313091;2452695;2607764;2742804;2947009;3087137;3243345;3413930;3627251;3919996;4144434;4388520;4648537;4695769;4760318;4893860.5;5152261.6;5412689;5541952;5927292;6208250;6827210;7277661;8179552;8857709;9828602.53;11668385.49;13696745.54;15464174.17;19443818.04;20903925.16;22384950.25;22583433.92;23064370.04;22927660.27;22618341.11;21786056.73;21813412.8;
IDA only;IDX;Total fisheries production (metric tons);ER.FSH.PROD.MT;1569553;1664328;1783681;1832404;1993915;2093252;2165026;2281802;2430827;2546864;2715168;2872862;3090450;3157197;3162904;3118863;3160667;3313008;3267933;3206635;3257568;3304450;3337420;3483323.24;3633925.14;3732178.11;4000807.32;4173437.78;4262053.28;4359821.72;4524991.56;4541090.52;4788617.11;4846806.28;4783935.05;5136414.33;5237294.56;5677296.5;5782854.24;6379213.86;6718033.45;7136616.61;7382252.06;8042723.67;8770371.48;9093465.48;9463189.95;9810133.69;9890405.54;10537125.3;11027611.68;11382542.26;11943710.34;12219915.87;12694214.63;12948552.38;13368580.26;14163630.39;14443957.48;14874197.08;14961156.06;14711668.43;
Isle of Man;IMN;Total fisheries production (metric tons);ER.FSH.PROD.MT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
India;IND;Total fisheries production (metric tons);ER.FSH.PROD.MT;1161400.01;961000;973900;1045800;1321600;1331300;1367200.01;1400400;1525600;1605000;1758500;1853000;1639100;1960700;2256991;2267192;2177096;2314702.99;2309709.01;2343292.01;2445337;2448342;2369320;2508598.5;2874519.1;2839347.6;3007532.89;2994385;3200962;3718189;3879722;4132494;4324546.01;4566914;4867135;5016546.99;5301687;5485270;5381977;5686963;5668958;5937726;5973298;6074846;6230871;6698487.99;7060154;7005055;7984490;7893598;8505837;8013716;9109122.41;9157940.43;9883495.43;10206040.51;10898848.01;11763822.01;12584085;13410100.01;13299483.01;14433204.99;
Not classified;INX;Total fisheries production (metric tons);ER.FSH.PROD.MT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ireland;IRL;Total fisheries production (metric tons);ER.FSH.PROD.MT;42800;32100;29000;27600;31900;35700;39700;50200;53100;66500;78901;74106;92112;90814;89591;88423;95038;93876;104306;93244;150030;191240;212936;204166;240149;260791;261619;282460;292151;240639;275047;293259;307033;338662;355986;450925;400368;364899;402990;363241;363639;453468;381288;363734;368929;357231;294399;301472;279686.5;346095.68;394931.3;287721.27;341528.86;310148.03;337623.94;304020.53;300099.79;321762.94;288136.86;276357.34;246252.76;276257.85;
Iran; Islamic Rep.;IRN;Total fisheries production (metric tons);ER.FSH.PROD.MT;20015;20015;20015;18015;18013;20014;21114;22515;24019;24016;26066;24369;19643;20260;69949;68317;72713;73545;72105;72453;52922;55805;106174;112033;117923;120626;154311;215620;235192;260383;269076;275730;327513;343887;333999;368297;381702;400267;400534;411997;424541;413692;401655;441837;474320;522328;575347;561316;562568;599924;663684;734895;833785.01;879101.02;940600.99;977240;1087850.99;1195366.99;1268111.63;1282681.01;1271400.05;1258202.73
Iraq;IRQ;Total fisheries production (metric tons);ER.FSH.PROD.MT;9000;9000;9000;11300;19200;16800;14100;10200;19100;22002;32100;27200;32000;27700;24246;21832;28283;26101;26100;55228;53245;26219;24000;22500;21000;21441;20564;21250;26461;24555;24229;15235;22823;23941;29247;30808;33237;34702;30074;24606;22512;35300;28000;19200;26883;43949;73942;68842;53826;46977;39668;47831;76117;70913;85625;52099;60135;67034;62673;62338;57474.17;66373.69;
Iceland;ISL;Total fisheries production (metric tons);ER.FSH.PROD.MT;629985;734064;847335;797444;989173;1217833;1260336;915201;617356;707209;748800;699881;741506;922000;954849;1001793;1015145;1393447;1579042;1661125;1524817;1449906;801799;855132;1551774;1695553;1668788;1644922;1772660;1518543;1524183;1058740;1585735;1729801;1574166;1627874;2078266;2229112;1703589;1758305;2003669;2008312;2153093;2014872;1764040;1694009;1356284;1425880;1311691;1169597;1086705;1170222.5;1474182.3;1387282;1103941.5;1344807.6;1100631;1219080.7;1298979;1094841.83;1076008.82;1109563.31;
Israel;ISR;Total fisheries production (metric tons);ER.FSH.PROD.MT;14671;15954;17385;18282;19512;20573;25426;24537;28927;23280;28216;32339;34831;32578;28394;30192;31155;31865;32807;30259;27982;27677;26307;23206;24444;27103;25146;28558;28248;26468;23567;20675;17671;18729;19045;21121;22782;23468;24856;24661;25916;26342;27299;24831;25643;26560;25937;24869;22725;21889;22507;23392;23566.4;24234.6;22208;21737;20502;20051;19073;18986;17296;16910;
Italy;ITA;Total fisheries production (metric tons);ER.FSH.PROD.MT;216754;245206;223613;234953;327089;356354;372164;375547;366613;372627;417749;426440;439063;424389;468486;450191;471500;423787;451257.4;482593.4;504905.5;513736.09;536817.66;543955.48;580930.73;586603.23;564362.43;554302.68;570639.38;548778.3;530676.17;586520.15;566844.5;563862.4;575759.8;612607.1;557127.5;541368.6;517109.7;495190.35;520681.85;530738.7;456187.1;489584.8;407156.8;481027.1;491438.7;470605.45;386622.26;416951.5;388454.21;381980.41;339471.39;318794.51;332181.76;347531.31;353550.86;354014.39;351936.88;319875.3;266997.48;296357.97;
Jamaica;JAM;Total fisheries production (metric tons);ER.FSH.PROD.MT;8500;11500;11900;10000;10000;9000;9000;9000;8500;8500;8500;9300;9500;9600;10100;10100;10130;10109;9797;9851;9250;8050;8200;8961;9965;10731;11275;11170;14652;16160;17054;18390;22340;26340;28717;28300;27755;23485;20956;21414;10052;18831;21042;15451;17966;18766;25722;22014;19005;21338;19342;19150;16034.05;19186.9;16080;17627;18254;20609;16961.63;14631.45;13797.47;11840.2;
Jordan;JOR;Total fisheries production (metric tons);ER.FSH.PROD.MT;100;100;200;200;200;200;200;100;100;100;100;200;100;100;92;65;49;31;31;36;56;35;34;32;132;197;267;322;372;407;412;390;402;455;496;595;621;650;763;1025;1119;1060;1041;1131;981;1071;1057;1015;1040;1009;1027;1075;1206.53;1292.24;1546.15;1554.33;1721.14;1854.45;1994.86;2618.73;2638.95;2810;
Japan;JPN;Total fisheries production (metric tons);ER.FSH.PROD.MT;6233547;6752627;6909629;6744572;6400607;6952402;7177695;7979807;8713293;8649447;9344607;9949029;10320775;10769824;10846007;10553605;10698190;10782475;10852291;10612564;11147813;11407458.43;11472056.12;11982781.46;12797866.63;12135056.78;12771375.46;12532750.05;12777784.68;11976764.23;11141468.93;10037199.06;9359007.29;8790829.26;8188003.91;7536569.42;7446856.11;7422090.62;6720585.49;6634957.01;6483310.14;6147400.2;5886827.35;6101859.31;5712155;5695057.16;5675394.8;5714496.97;5628024.52;5474058.78;5339477.64;4781923;4830260.57;4765567.87;4756926.54;4606022.2;4354251.77;4296831.7;4409395.01;4199651.31;4241175.47;4114569.54;
Kazakhstan;KAZ;Total fisheries production (metric tons);ER.FSH.PROD.MT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68503;59628;47594;50350;45955;33747;26106;37363;37433;23269;25446;26015;33494.2;37744;30301;34371;51473;38473;47051;35754;37677;35503;37547;41191.4;43212.54;44095.99;42936.41;52577.69;49401.94;46895.72;
Kenya;KEN;Total fisheries production (metric tons);ER.FSH.PROD.MT;12980;13910;18760;20480;21130;23799;28270;27660;28517;32293;33940;28520;30170;29180;28741;27523;41324;43169;46605;51895;48035;58060;81913;98558;91334;106464;120468;131902;138952;147165;202778;199657;164103;184054;204747;194584.74;182042.35;161787.66;173307.58;206227.39;216310.91;165769.32;145962.33;121544;128332.07;148967;160278;136522;140561;139052;152801;203745;180631;187034;193667.1;184210;156939;135019.58;141347.51;144838.81;145760.44;152727.53;
Kyrgyz Republic;KGZ;Total fisheries production (metric tons);ER.FSH.PROD.MT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;843;350;294;392;330;253;247;119;110;324;245;75;27;46;57;121;100;143;379;454.5;387;420;804.93;1099.4;2019.7;2190;2577.7;4320;5120;10320;
Cambodia;KHM;Total fisheries production (metric tons);ER.FSH.PROD.MT;35000;45000;45000;40000;40000;45000;45000;50000;50000;52000;52200;77100;87100;84700;84700;84700;84704;84711;40925;30053;19706;51594;68715;68161;64424;70578;73651;82224;86896;82184;111427;117854;111228;108969;103254;112511;104310;114600;122000;284156;296049.51;444500.01;424400.01;389800;343315;425000;523510;493760;471000;515000;550000.01;608000;681999.99;728000;745310;753405.01;802450;856320;910155.01;908508.01;936300;856399.99;
Kiribati;KIR;Total fisheries production (metric tons);ER.FSH.PROD.MT;5000;5000;6000;6000;6000;6000;7500;7500;7500;7500;8800;8900;9100;9200;9475;9650;9824;10053;10606;10838;12929;13502;13009;22485;19393;22859;30801;38226;25445;32211;31968;37379;33536;30568;32769;37386;43176;39522;43226;66050;46634;42562;40956;37625;34974;35574;34510;35287;28393.14;41224.16;47872;67200.02;85822.66;83702.66;123896;149488;174305;162711;197936.53;238694.39;212752.79;191167.52;
St. Kitts and Nevis;KNA;Total fisheries production (metric tons);ER.FSH.PROD.MT;600;600;600;700;700;700;800;800;800;800;1000;1000;1000;1000;1000;1218;1684;1695;1790;1777;1935;1900;1930;1177;1115;995;901;924;800;713;623;453;300;250;357;339;687;418;967;934;971;1040;950;874;1112;1517;1180;1276;1343;2065;21755;31072;21888;17718;66143.2;100400.02;65769.93;84959.67;1046.37;654;648.54;371.42;
Korea; Rep.;KOR;Total fisheries production (metric tons);ER.FSH.PROD.MT;357201;424517;469200;532001;599811;639833;703234;759881;840723;879124;876609;1067559;1342357;1686127;2024288;2133667;2405159;2422883;2352830;2420659;2408361;2810258;2641382;2791459;2908151;3093816;3660725;3333418;3216014;3327347;3285474;2983447;3304093;3335883;3478501;3359594;3334151;3268001;2837464;2909329;2506078;2677017;2498788;2501632;2542602;2719486;3051622;3287437;3365700;3203623;3112233;3256528.59;3182945.63;3138753.22;3319374.5;3334490.13;3230567.39;3694266.23;3681843.76;3824685.84;3710381.41;3742566.29
Kuwait;KWT;Total fisheries production (metric tons);ER.FSH.PROD.MT;3500;3500;3500;3500;4000;4000;4000;4500;4500;4500;4700;5700;5000;6100;5502;5934;4648;5913;6489;3065;3689;3714;6628;8722;9639;10118;7633;7704;10796;7653;4454;2034;7871;8466;7752;8706;8345;8031;8018;7662;7354;6041;5555;4426;5436;5222;6203;4721;4270.21;4980;6683;4357;3995;4610;4137;4121;5383.16;4173;3068.65;3473.84;3545;3975;
Latin America & Caribbean (excluding high income);LAC;Total fisheries production (metric tons);ER.FSH.PROD.MT;4202523;5983665;7769207;7724073;10023359;8453357;9866973;11355649;11826963;10481902;13999356;12132908;6454787;4355719;6091075;5435278;6478759;5010953;6613125;6996652;6228071;6475277;7265678;4704700.9;7038801.2;8311828.42;9858441.58;8620489.58;10720242.82;10813756.8;10387515.71;10594120.49;10995561.35;12706881.38;15854607.67;13320268.58;14395894.26;12844685.86;8528213.33;12826004.63;15144451.4;12709962.5;13406238.88;10671009.05;14194565.43;14195454.51;12323612.54;12555622.43;13076497.15;12539438.91;9819266.03;13865731.36;10342008.25;11444422.36;9501369.03;10591585.07;9651066.7;10301312.78;13583523.53;11329370.98;12204693.84;13676142.15;
Lao PDR;LAO;Total fisheries production (metric tons);ER.FSH.PROD.MT;12000;12000;15000;15000;15000;15000;18000;18000;18000;18000;20000;20000;20000;20000;20000;22000;22000;22000;22000;24000;24000;24000;24000;26000;26000;26000;26000;28000;28000;28000;28000;29000;30000;30500;35000;40250;39000;40000;40858;60403;71316;81000;93156;94700;94700;86560;86925;91660;93500;105800.5;113000;129600;136001;142846;150597;158600;164000;168869;179208;187701;200021;206008;
Lebanon;LBN;Total fisheries production (metric tons);ER.FSH.PROD.MT;2100;1900;2000;2200;2000;2300;2500;1800;2500;3000;2300;2000;1800;2400;3100;2405;1710;1620;1740;1675;1740;1570;1520;1500;1500;1700;1875;1913;1813;1813;1510;1812;1861;2212;2437;4385;4485;3955;3920;3860;4066;3970;4760;4693;4661;4611;4624;4518;4575;4580;4580;4580;4480;4280;4125;4665;5318;4644;3729;3555.8;3283;3358;
Liberia;LBR;Total fisheries production (metric tons);ER.FSH.PROD.MT;4200;3700;4000;4000;4000;4500;5000;6000;6000;7000;8000;8200;8900;9300;10064;10046;10132;10190;10812;13484;11791;13004;13588;15286;14657;11486;16059;18734;16076;14805;6463;9620;8891;7782;7721;8829;7408;8491;10717;14702;11540;10510;11072;10494;13762;12192;8944;14548;7950;10770;11780;13511.05;14128.69;15220.98;14597.19;14189.22;13918.1;12194.1;14362.29;16384.03;31916.68;25444.14;
Libya;LBY;Total fisheries production (metric tons);ER.FSH.PROD.MT;2013;1700;1500;1400;1600;2924;3324;4236;5560;6500;5500;5600;2549;2975;4769;4949;4059;2046;4355;4500;12752;13130;14706;10122;11979.78;15900.6;17947;18622;21690;22058;24804;26106;28908;31103;33518;34448;36024;36925;37959;43643;50009;47336;44053;41994;40190;37783;35040;32166;47760;52227.3;50116;30014;34664;35514;24643;25740;29929.39;31883.99;32154.06;32345;31813.55;31961.33;
St. Lucia;LCA;Total fisheries production (metric tons);ER.FSH.PROD.MT;600;600;600;600;800;800;900;1000;1100;1100;1419;1519;1519;1627;1700;2000;2200;2500;2600;1024;969;891;921;910;946;1152;940;751;826;847;988;1056;1128;1404;1356;1354;1414;1419;1711;2037;2028;2189;1913;1690;1712;1605;1657.24;1742.39;1902.04;2078.36;1984.9;1832.8;1971.41;2035.94;2017.64;2056.57;2150.08;2118.96;2079.92;1964.82;1515.72;1625.19;
Latin America & Caribbean;LCN;Total fisheries production (metric tons);ER.FSH.PROD.MT;4671288;6546433;8546793;8631844;11361562;9373065;11492835;12649795;13444275;11791033;15443847;13897489;7535031;5363577;7532043;6727042;8311159;6856131;9025037;10163867;9674147;10479900.79;11589308.04;9445042.05;12269886.27;14028444.24;16157760.48;14187911.61;16650373.48;18116035.41;16406656.89;17448183.03;18297419.89;19642737.32;24673479.69;22095142.06;22451124.41;20037115.45;13265002.02;19101513.73;20882718;18293030;19487099.58;16124998.05;21199648.93;20545996.06;18411380.54;18245371.53;18597968.44;17947001.79;14145945.59;18889204.03;15016910.91;15370874.54;13927977.04;14420205.37;13186140.01;14494860.59;17777611.23;15696755.87;16443842.62;18093653.62;
Least developed countries: UN classification;LDC;Total fisheries production (metric tons);ER.FSH.PROD.MT;1688850;1754450;1876760;1879240;2110090;2118970;2246353;2302065;2456824;2641150;2725615;2773985;3207249;3212518;3132627;2806002;2741961;2895774;2828390;2778637;2799359;2858279;2868631;2989993.69;3154779.74;3198528;3382296.39;3504640.12;3625828.28;3714662.72;3869553.56;3853726.52;4027548.03;4135885.39;4089387.38;4418642.41;4384244.25;4825825.66;4919265.38;5423206.16;5884615.85;6354137.61;6667643.06;7129792.47;7747832.05;8140818.59;8481023.96;8938056.98;9065648.79;9713172.91;10165134.26;10495882.79;11024616.99;11354016.83;11757134.87;12020419.67;12461201.06;13253783.13;13354175.93;13730715.66;13813681.32;13674873.02;
Low income;LIC;Total fisheries production (metric tons);ER.FSH.PROD.MT;800126;854887;899056;954729;989210;1072743;1153841;1205566;1293494;1348848;1334077;1410330;1537075;1670489;1771485;1825103;1863034;1938269;2305266;2283971;2257935;2477451;2561581;2363869.1;2613958;2598500;2841760;3294065.9;3094412.9;3293014.9;2780221;2709216;2997142;3056756;2644690;2612895;2645972.6;2407468;2297104.9;2386058.55;2474656;2482195.5;2465767.5;2706745.5;2830185.5;2855714.65;2803785.7;2941448.2;3031888.75;3176956.4;3217325.19;3367103.49;3432163.86;3568466.62;3713758.01;3670530.22;3850361.35;4193949.34;4210514.12;4494714.4;4398908;4535569.68;
Liechtenstein;LIE;Total fisheries production (metric tons);ER.FSH.PROD.MT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sri Lanka;LKA;Total fisheries production (metric tons);ER.FSH.PROD.MT;48103;59628;73471;71614;91125;74632;79973;82237;98302;95060;89241;74985;91877;96548;100489;109235;131663;136165;156107;164790;183447;201951;201239;205500;162502;177659;183998;187154;205574;220486;183923;211801;206463.08;232200.89;248716.67;237885.92;263818.31;274186.84;289689.86;314072.7;301169.6;271160;275253;323221.2;336857.4;220967;284255;313136;331362;344490.68;398245.14;433676.92;459690.37;492110.9;527716.98;505162;519264.6;505163.63;510529.99;506076.89;429161.7;431255.45;
Lower middle income;LMC;Total fisheries production (metric tons);ER.FSH.PROD.MT;4831350.01;4886483;5177327;5393455;6136940;6283352;6783989.01;6859797;7200448;7592755;7914447;8301895;8821060;9290835;9371936;9111441;9197377;9683243.99;9868336.91;10056779.81;10402995.1;10831122.08;11113026.64;12083640.28;12555380.54;12928356.58;13696773.4;14149200.91;14923024.33;15881090.44;16578344.66;17212499.17;18455914.93;19114714.29;20073388.83;21218720.4;21748940.97;22720879.1;23148225.17;24621120.05;25739635.27;27156145.3;27806839.03;29241998.55;30990793.2;33162044.89;35029034.38;36968194.96;39621910.58;41412648.28;44863529.2;46810264.59;50899042.2;55548562.56;58726067.23;61053190.01;62823346.77;65496337.98;66925074.75;68126119.01;67308279.59;68284285.76;
Low & middle income;LMY;Total fisheries production (metric tons);ER.FSH.PROD.MT;14324233.01;16455416;18768045;19346987;22766383;21800041;24070537.01;26310499;28007437;27208651;30501264;29703336;25241191;23922527;26244515;25615845;26854658;27080334.99;29298792.91;29348032.81;29041235.1;30124024.08;31914145.64;31026548.63;34685742.41;37486174.23;41598611.74;43592871.72;47490110.23;49283620.43;49751473.04;52565050.83;64769235.34;70427874.48;78004805.99;81978590.37;87515953.98;87257229.76;86095613.51;94079350.15;98962503.67;98497376.5;101903471.21;102920901.5;110839252.99;114842649.45;116902030.76;120801486.91;125045189.34;128872887.36;131765433.62;139404954.39;143626415.08;152087718.15;156140069.24;162074178.36;165696369.5;170819236.11;177019259.96;177964354.51;179358094.36;183832248.9;
Lesotho;LSO;Total fisheries production (metric tons);ER.FSH.PROD.MT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;23;27;22;24;27;23;15;19;20;13;23;25;26;30;30;30;25;33;40;40;40;42;44;38;34;40;32;48;46;47;46;47;179;141;152.6;345.4;345.37;450.37;550.43;952.53;1053;1102;1853;2552.46;2602;2658;1556.3;
Late-demographic dividend;LTE;Total fisheries production (metric tons);ER.FSH.PROD.MT;6234918;6634258;7309113;7683484;8708464;8888441;10069284;9717701;10256590;10410264;10638335;11775683;12083871;12551163;13269843;13559986;14343542;15996108.5;17181596.9;17472623.8;17822340.1;18977107.29;19473528.04;20782774.72;23015853.73;24689131.66;27194786.61;28494016.54;30126177.04;32344000.8;31181759.57;33772523.26;44809971.78;47782705.32;53596055.65;59090043.91;62795572.45;62639228.16;62014833.66;66182857.02;67691063.01;68397118.81;71026298.61;72505057.88;76679817.34;78302242.19;80086625.62;81891997.27;83407357.03;86299811.41;87420935.08;89815483.04;93776697.32;96191266.55;99686768.14;101815156.51;104527170.55;107506447.21;109663686.03;111871877.97;113436094.47;115938669.37;
